prompt_id,trial_index,temperature,winner_id,reasoning_hash,is_flipped
82,0,0.0,B,d71dac496cbc,False
82,1,0.0,B,dacbcab43cf8,False
82,2,0.0,B,324ed41f89b2,False
82,3,0.0,B,cba5ff4acc40,False
82,4,0.0,B,ba35a45dd0a7,False
83,0,0.0,B,a6c3a89bc4d3,False
83,1,0.0,B,baa809e9eda1,False
83,2,0.0,B,89b0366f981f,False
83,3,0.0,B,b3ed8734ef8a,False
83,4,0.0,B,221f9a696d4d,False
84,0,0.0,B,5956056d18c5,False
84,0,0.0,B,d559ea07577b,False
84,1,0.0,B,afdebe0e84c3,False
84,1,0.0,B,a61a1b202f6b,False
84,2,0.0,B,8d5d77a98c02,False
84,2,0.0,B,c97cb04b2d93,False
84,3,0.0,B,5956056d18c5,False
84,3,0.0,B,f1c9a533a11b,False
84,4,0.0,B,2a4a43d6f1c5,False
84,4,0.0,A,eae6575089f7,True
85,0,0.0,B,e67e5d741f90,False
85,1,0.0,B,9cc33a40c8f6,False
85,2,0.0,B,d9b638c306a8,False
85,3,0.0,B,9c67c10f560f,False
85,4,0.0,B,04dcb70b2929,False
86,0,0.0,A,9477d776cde8,False
86,1,0.0,A,4098e2a88da0,False
86,2,0.0,A,001bab60619d,False
86,3,0.0,A,1f0ae40cddf1,False
86,4,0.0,A,7cd0c7dd4bc1,False
87,0,0.0,B,b9d02a1f8b1e,False
87,0,0.0,A,2b04b316cd97,True
87,1,0.0,B,aa72fda6a232,False
87,1,0.0,A,2f43bf22d039,True
87,2,0.0,B,f84c99a2f758,False
87,2,0.0,A,36f90712c1e8,True
87,3,0.0,B,3d233bc4a85b,False
87,3,0.0,A,6c35e7b47ab2,True
87,4,0.0,B,3873ef082fb9,False
87,4,0.0,A,94fc0477d84d,True
88,0,0.0,B,2366cb17a412,False
88,0,0.0,A,7509a2fe7c0c,True
88,1,0.0,B,27ac8c86b8cf,False
88,1,0.0,A,209869e9ae2d,True
88,2,0.0,B,5fd5052b133f,False
88,2,0.0,A,540719a89762,True
88,3,0.0,B,f1c2014617dc,False
88,3,0.0,A,f90cb4c57f36,True
88,4,0.0,B,280f2239e47a,False
88,4,0.0,A,112f5d7271f4,True
89,0,0.0,B,3a2462822196,False
89,1,0.0,B,4a84eb683a41,False
89,2,0.0,B,75945e6f087c,False
89,3,0.0,B,67c052b1812a,False
89,4,0.0,B,c47c4c815a29,False
91,0,0.0,B,4a9408862293,False
91,0,0.0,B,c718b1874155,False
91,1,0.0,B,2ddd53c91c7c,False
91,1,0.0,B,c8aee7becf2e,False
91,2,0.0,B,4d3d54c2b0b8,False
91,2,0.0,B,ad5a34f1a109,False
91,3,0.0,B,8855b92812da,False
91,3,0.0,B,9145bbc902f5,False
91,4,0.0,B,2d953daa65d7,False
91,4,0.0,B,6f1264460684,False
93,0,0.0,A,7f7ffd83ff84,True
93,0,0.0,B,c4357ebca9b5,False
93,0,0.0,B,d3c20bcbb2cb,False
93,0,0.0,B,2b6e1b1355e7,False
93,1,0.0,A,ec30c3b6a953,True
93,1,0.0,B,e68eaa9a209f,False
93,1,0.0,B,e08fee54d612,False
93,1,0.0,B,6012bcc04788,False
93,2,0.0,A,69377b9af74a,True
93,2,0.0,B,36c0e8320d9b,False
93,2,0.0,B,afb64f3dbd0b,False
93,2,0.0,B,a5ba7f869789,False
93,3,0.0,A,71d9018204f3,True
93,3,0.0,B,e7bcf6cf18fc,False
93,3,0.0,B,77b246f08a34,False
93,3,0.0,B,c5b99dd18386,False
